name,category,default_unit,image_url
Cinnamon Dalchini,Spice,grams,https://source.unsplash.com/200x200/?Cinnamon%20Dalchini
Cinnamon Stick,Spice,grams,https://source.unsplash.com/200x200/?Cinnamon%20Stick
Cinnamon Stick Dalchini,Spice,grams,https://source.unsplash.com/200x200/?Cinnamon%20Stick%20Dalchini
Clove,Spice,grams,https://source.unsplash.com/200x200/?Clove
Coriander Dhania Seed,Spice,grams,https://source.unsplash.com/200x200/?Coriander%20Dhania%20Seed
Coriander Powder,Spice,grams,https://source.unsplash.com/200x200/?Coriander%20Powder
Coriander Seed,Spice,grams,https://source.unsplash.com/200x200/?Coriander%20Seed
Cumin,Spice,grams,https://source.unsplash.com/200x200/?Cumin
Cumin Seeds,Spice,grams,https://source.unsplash.com/200x200/?Cumin%20Seeds
Curry Leaves,Spice,grams,https://source.unsplash.com/200x200/?Curry%20Leaves
Fennel Seed,Spice,grams,https://source.unsplash.com/200x200/?Fennel%20Seed
Fenugreek,Spice,grams,https://source.unsplash.com/200x200/?Fenugreek
Garam Masala,Spice,grams,https://source.unsplash.com/200x200/?Garam%20Masala
Green Bell Pepper,Spice,grams,https://source.unsplash.com/200x200/?Green%20Bell%20Pepper
Green Bell Pepper Capsicum,Spice,grams,https://source.unsplash.com/200x200/?Green%20Bell%20Pepper%20Capsicum
Green Chilli,Spice,grams,https://source.unsplash.com/200x200/?Green%20Chilli
Kashmiri Red Chilli,Spice,grams,https://source.unsplash.com/200x200/?Kashmiri%20Red%20Chilli
Methi Seed Fenugreek Seed,Spice,grams,https://source.unsplash.com/200x200/?Methi%20Seed%20Fenugreek%20Seed
Mustard Seeds,Spice,grams,https://source.unsplash.com/200x200/?Mustard%20Seeds
Nutmeg,Spice,grams,https://source.unsplash.com/200x200/?Nutmeg
Oregano,Spice,grams,https://source.unsplash.com/200x200/?Oregano
Paprika,Spice,grams,https://source.unsplash.com/200x200/?Paprika
Pepper,Spice,grams,https://source.unsplash.com/200x200/?Pepper
Poppy Seed,Spice,grams,https://source.unsplash.com/200x200/?Poppy%20Seed
Red Bell Pepper,Spice,grams,https://source.unsplash.com/200x200/?Red%20Bell%20Pepper
Red Bell Pepper Capsicum,Spice,grams,https://source.unsplash.com/200x200/?Red%20Bell%20Pepper%20Capsicum
Red Chilli,Spice,grams,https://source.unsplash.com/200x200/?Red%20Chilli
Red Chilli Flake,Spice,grams,https://source.unsplash.com/200x200/?Red%20Chilli%20Flake
Red Chilli Powder,Spice,grams,https://source.unsplash.com/200x200/?Red%20Chilli%20Powder
Red Chilli Sauce,Spice,grams,https://source.unsplash.com/200x200/?Red%20Chilli%20Sauce
Saffron Strand,Spice,grams,https://source.unsplash.com/200x200/?Saffron%20Strand
Salt,Spice,grams,https://source.unsplash.com/200x200/?Salt
Star Anise,Spice,grams,https://source.unsplash.com/200x200/?Star%20Anise
Thyme,Spice,grams,https://source.unsplash.com/200x200/?Thyme
Turmeric,Spice,grams,https://source.unsplash.com/200x200/?Turmeric
Turmeric Powder,Spice,grams,https://source.unsplash.com/200x200/?Turmeric%20Powder
Vanilla Extract,Spice,grams,https://source.unsplash.com/200x200/?Vanilla%20Extract
Vinegar,Spice,grams,https://source.unsplash.com/200x200/?Vinegar
Coconut Oil,Oil,ml,https://source.unsplash.com/200x200/?Coconut%20Oil
Ghee,Oil,ml,https://source.unsplash.com/200x200/?Ghee
Groundnut Oil,Oil,ml,https://source.unsplash.com/200x200/?Groundnut%20Oil
Mustard Oil,Oil,ml,https://source.unsplash.com/200x200/?Mustard%20Oil
Oil,Oil,ml,https://source.unsplash.com/200x200/?Oil
Sesame Oil,Oil,ml,https://source.unsplash.com/200x200/?Sesame%20Oil
Soy Sauce,Oil,ml,https://source.unsplash.com/200x200/?Soy%20Sauce
Sunflower Oil,Oil,ml,https://source.unsplash.com/200x200/?Sunflower%20Oil
Ajwain,Other,grams,https://source.unsplash.com/200x200/?Ajwain
Ajwain Carom Seed,Other,grams,https://source.unsplash.com/200x200/?Ajwain%20Carom%20Seed
Amchur,Other,grams,https://source.unsplash.com/200x200/?Amchur
Badam,Other,grams,https://source.unsplash.com/200x200/?Badam
Badam Almond,Other,grams,https://source.unsplash.com/200x200/?Badam%20Almond
Baking Powder,Other,grams,https://source.unsplash.com/200x200/?Baking%20Powder
Baking Soda,Other,grams,https://source.unsplash.com/200x200/?Baking%20Soda
Button Mushroom,Other,grams,https://source.unsplash.com/200x200/?Button%20Mushroom
Cashew Nut,Other,grams,https://source.unsplash.com/200x200/?Cashew%20Nut
Caster Sugar,Other,grams,https://source.unsplash.com/200x200/?Caster%20Sugar
Cocoa,Other,grams,https://source.unsplash.com/200x200/?Cocoa
Fennel Seed Saunf,Other,grams,https://source.unsplash.com/200x200/?Fennel%20Seed%20Saunf
Green Pea,Other,grams,https://source.unsplash.com/200x200/?Green%20Pea
Green Pea Matar,Other,grams,https://source.unsplash.com/200x200/?Green%20Pea%20Matar
Honey,Other,grams,https://source.unsplash.com/200x200/?Honey
Jaggery,Other,grams,https://source.unsplash.com/200x200/?Jaggery
Methi Seed,Other,grams,https://source.unsplash.com/200x200/?Methi%20Seed
Mint,Other,grams,https://source.unsplash.com/200x200/?Mint
Peanut Moongphali,Other,grams,https://source.unsplash.com/200x200/?Peanut%20Moongphali
Pistachio,Other,grams,https://source.unsplash.com/200x200/?Pistachio
Sambar,Other,grams,https://source.unsplash.com/200x200/?Sambar
Sesame Seed,Other,grams,https://source.unsplash.com/200x200/?Sesame%20Seed
Sesame Seed Til Seed,Other,grams,https://source.unsplash.com/200x200/?Sesame%20Seed%20Til%20Seed
Sugar,Other,grams,https://source.unsplash.com/200x200/?Sugar
Sweet Corn,Other,grams,https://source.unsplash.com/200x200/?Sweet%20Corn
Tamarind Paste,Other,grams,https://source.unsplash.com/200x200/?Tamarind%20Paste
Tamarind Water,Other,grams,https://source.unsplash.com/200x200/?Tamarind%20Water
Vanilla,Other,grams,https://source.unsplash.com/200x200/?Vanilla
Walnut,Other,grams,https://source.unsplash.com/200x200/?Walnut
Water,Other,grams,https://source.unsplash.com/200x200/?Water
